id,school_name,state,school_type,grade_level,funding_per_student_usd,avg_test_score_percent,student_teacher_ratio,percent_low_income,percent_minority,internet_access_percent,dropout_rate_percent
545,Richardson Elementary School,New York,Private,High,14951.05,40.0,14.9,84.3,43.4,53.0,11.93
546,Fisher Middle School,California,Charter,Middle,23198.11,57.1,29.2,35.4,38.7,82.5,4.21
547,Wells High School,Ohio,Private,Elementary,18941.6,48.0,25.1,53.1,42.0,68.2,5.35
548,Donaldson Elementary School,Texas,Public,Elementary,9772.35,40.0,26.3,26.3,39.1,50.4,7.14
549,Patrick Elementary School,California,Private,Elementary,22742.65,68.2,21.7,16.3,39.4,83.8,0.89
550,Wall High School,Texas,Public,High,16853.7,49.4,13.1,40.3,92.9,52.3,7.01
551,Sanchez High School,New York,Charter,Elementary,21935.74,56.2,28.8,44.7,29.3,81.0,3.32
552,Brown Elementary School,Ohio,Public,High,15562.27,47.2,10.5,84.2,59.1,67.1,6.72
553,Walters Middle School,Georgia,Private,Middle,24158.05,64.7,19.8,36.1,33.9,78.8,1.48
554,Diaz Elementary School,Ohio,Charter,Elementary,7556.05,44.1,20.4,76.7,12.5,78.1,6.81
555,Strong Elementary School,Georgia,Private,Elementary,17592.28,40.2,26.9,81.6,63.9,76.0,8.92
556,Barrera High School,Pennsylvania,Public,Middle,16969.88,40.0,21.9,90.1,34.8,61.6,10.37
557,Rice Middle School,Pennsylvania,Public,High,21368.94,54.6,11.2,75.7,63.4,82.2,4.01
558,Stone Elementary School,Florida,Public,High,16441.31,42.8,28.1,63.5,38.9,89.4,8.19
559,Moss Elementary School,Florida,Charter,Elementary,15765.31,40.6,23.5,37.7,75.4,69.3,8.2
560,Cohen Elementary School,Ohio,Charter,High,19511.97,49.5,15.2,89.1,91.3,95.3,6.34
561,Pope Middle School,North Carolina,Private,Middle,18980.84,57.9,28.5,31.9,7.7,93.0,1.85
562,Kidd Middle School,New York,Charter,Elementary,19492.29,42.7,25.9,68.5,5.1,51.2,10.54
563,Garner High School,Illinois,Private,Middle,6181.26,45.2,20.6,43.3,46.9,100.0,2.03
564,Hall High School,North Carolina,Private,Elementary,8365.77,47.9,21.8,29.4,14.5,99.6,0.5
565,Spencer Elementary School,Texas,Public,Middle,5675.25,41.8,17.3,61.7,50.6,84.7,4.63
566,Smith Middle School,Pennsylvania,Private,Middle,21193.26,50.4,25.5,91.0,88.2,90.8,8.27
567,Rodriguez Middle School,Georgia,Charter,High,24739.15,56.6,15.3,87.0,72.6,83.3,5.09
568,Hernandez Elementary School,Michigan,Private,High,21016.89,62.0,12.0,42.5,86.7,92.5,1.28
569,Parker Middle School,Georgia,Private,High,10167.94,48.8,11.4,54.9,11.8,71.5,4.76
570,Hill High School,Illinois,Charter,High,17127.44,48.3,29.2,55.6,73.9,92.0,4.83
571,Boyd Middle School,Michigan,Private,Middle,15685.52,40.0,28.7,20.5,91.5,54.9,8.75
572,Martin Elementary School,Texas,Private,Middle,15104.98,49.1,16.9,50.6,49.9,74.8,4.78
573,Perez Middle School,Michigan,Private,Middle,7496.69,40.0,13.7,87.5,92.9,90.1,8.0
574,Vazquez Middle School,North Carolina,Public,Elementary,18587.73,49.5,27.9,16.1,41.7,72.9,4.44
575,Patel High School,North Carolina,Public,Elementary,17026.8,42.4,24.1,90.7,7.4,72.6,7.98
576,Sawyer High School,Michigan,Private,Middle,23266.81,41.0,25.1,74.0,83.1,68.3,9.16
577,Gilbert Elementary School,Michigan,Charter,Middle,7886.68,47.7,22.7,48.1,45.7,91.1,4.46
578,Juarez Elementary School,California,Private,High,18027.26,54.2,24.9,78.6,30.6,91.8,7.51
579,Kaufman Elementary School,New York,Private,Elementary,15178.78,42.2,18.3,49.0,54.3,56.7,5.12
580,Garcia Elementary School,Texas,Charter,Elementary,24540.9,65.6,24.9,41.4,14.7,89.4,2.5
581,Smith Middle School,Georgia,Private,High,12624.09,40.0,12.3,45.5,16.2,61.3,6.72
582,Rodriguez High School,Ohio,Public,High,9551.58,40.0,22.0,46.6,46.7,82.1,5.67
583,Scott High School,Texas,Public,High,5557.04,40.0,26.8,60.8,87.0,66.5,10.97
584,Wilson Elementary School,Michigan,Private,Elementary,21985.55,57.2,16.3,32.1,50.2,74.5,1.81
585,Benson High School,Texas,Charter,High,16795.47,57.9,27.3,44.6,9.2,97.1,2.57
586,Tanner Middle School,Michigan,Public,Elementary,24643.68,62.3,29.2,49.6,90.5,82.5,4.19
587,Clay Middle School,Florida,Charter,Elementary,19588.2,54.8,17.7,18.4,24.3,68.1,0.5
588,Green Middle School,Texas,Public,High,11152.11,43.0,23.0,50.8,55.1,94.4,6.16
589,Tucker Elementary School,Georgia,Private,Middle,6794.44,40.0,11.3,48.8,71.0,66.0,4.8
590,Jackson Middle School,Texas,Private,High,15986.0,50.5,23.3,21.3,67.6,51.7,5.95
591,Donaldson Middle School,Michigan,Private,Elementary,6852.91,40.0,15.5,83.9,56.2,58.4,8.43
592,Gallegos Middle School,Florida,Public,Elementary,17125.75,50.7,23.3,48.1,73.4,82.7,3.95
593,Short Elementary School,Texas,Charter,Middle,8044.86,56.6,15.3,39.9,52.6,95.0,0.94
594,Martin Middle School,Texas,Private,High,5934.15,40.0,26.2,48.5,55.5,81.3,6.22
595,Morgan Elementary School,New York,Public,Elementary,17817.89,43.6,19.2,53.4,38.0,65.7,7.4
596,Huff Middle School,Florida,Public,Elementary,11360.92,40.0,27.2,12.7,93.3,68.9,6.98
597,Ortiz High School,Ohio,Private,High,24702.86,56.5,22.0,21.8,67.5,61.6,5.06
598,Young Middle School,Florida,Public,Middle,15878.01,45.0,28.6,83.6,55.0,90.2,9.28
599,Johnson High School,Illinois,Private,Middle,11880.67,58.8,11.4,52.8,6.3,99.6,1.68
600,Walker High School,Illinois,Charter,High,21353.04,52.5,15.0,75.4,10.2,87.5,2.95
601,King Elementary School,Florida,Public,High,6672.14,45.9,21.0,11.2,77.9,81.0,2.9
602,Payne Elementary School,Florida,Public,Elementary,10947.39,41.9,28.0,65.8,7.5,99.4,7.24
603,Bailey Middle School,Georgia,Charter,Elementary,8276.1,54.8,12.7,23.9,32.4,77.1,2.43
604,Sherman High School,Pennsylvania,Charter,High,19997.83,50.0,16.0,85.0,55.7,84.7,4.94
605,Simpson Middle School,Ohio,Charter,Middle,13436.12,41.6,23.3,26.9,24.5,58.8,5.89
606,Herrera Middle School,Texas,Public,Middle,23848.15,67.7,10.6,34.7,24.4,65.9,2.65
607,Ray Elementary School,Pennsylvania,Private,Middle,19833.66,51.5,11.3,63.2,70.3,51.8,8.0
608,Russell High School,New York,Public,High,15946.73,57.0,17.7,15.9,45.3,70.9,2.16
609,Thompson Middle School,California,Public,Elementary,21277.18,43.8,25.8,17.6,67.0,54.0,6.86
610,Marshall High School,Ohio,Charter,Middle,5611.5,47.1,14.1,44.3,50.5,90.5,2.15
611,Brown Elementary School,Illinois,Public,Elementary,21114.49,49.9,21.7,87.5,48.4,96.9,6.97
612,Moss Elementary School,Illinois,Charter,Middle,19867.04,51.8,18.4,33.1,43.9,51.4,5.59
613,Hood Middle School,Florida,Public,High,12569.89,46.2,17.6,36.7,86.5,93.0,3.22
614,Brown Middle School,North Carolina,Charter,Middle,5036.13,40.0,26.2,60.9,75.0,95.9,7.12
615,Cooke Elementary School,Texas,Private,Middle,24492.1,57.2,17.5,71.8,83.1,92.0,4.17
616,Williams Elementary School,California,Charter,Elementary,22025.13,53.8,12.8,87.8,61.1,94.0,5.66
617,Smith Middle School,Ohio,Public,Middle,6815.96,40.0,14.0,56.3,62.7,56.5,11.41
618,Gonzalez High School,New York,Private,High,22589.03,64.9,15.9,14.8,94.5,76.3,0.5
619,Hudson High School,Michigan,Private,Middle,11060.5,40.6,20.0,62.9,63.2,86.6,6.96
620,Gay Middle School,North Carolina,Private,High,9267.77,59.4,15.7,16.3,55.9,91.4,0.5
621,Flores Middle School,New York,Charter,Elementary,19996.34,59.3,14.0,46.6,18.4,80.0,2.66
622,Ramos Middle School,North Carolina,Charter,Middle,21648.82,45.8,28.2,51.7,21.7,53.7,9.32
623,Williams Elementary School,Michigan,Public,Elementary,12661.46,50.1,25.7,38.7,48.4,94.3,4.67
624,Medina Elementary School,Ohio,Public,High,13510.04,48.9,18.9,35.2,12.9,76.9,4.68
625,Crawford Elementary School,California,Public,High,8225.48,40.0,24.2,66.8,55.5,64.2,10.1
626,Bridges Elementary School,Georgia,Public,High,17564.01,57.3,15.9,33.4,22.6,81.2,2.82
627,Reed Middle School,North Carolina,Charter,Elementary,20819.92,48.1,16.0,55.9,40.2,52.0,4.66
628,James High School,Illinois,Charter,Middle,18704.15,74.8,12.8,11.4,14.1,88.8,0.5
629,Duran High School,California,Public,Middle,23672.47,49.9,20.7,76.6,59.3,79.6,7.95
630,Schmidt Middle School,Texas,Private,Middle,19281.68,40.0,20.9,76.4,94.6,59.4,12.54
631,Salazar Middle School,Texas,Public,Elementary,15527.4,47.7,17.3,80.4,53.7,65.3,7.21
632,Estrada Middle School,Florida,Private,High,14011.98,59.1,15.2,16.6,89.1,60.8,2.16
633,Jones Middle School,Michigan,Public,High,6429.0,40.0,24.0,42.1,85.3,63.0,8.75
634,Montgomery High School,North Carolina,Private,High,19890.29,40.0,21.2,71.0,31.8,50.4,10.5
635,Jackson Elementary School,Michigan,Charter,High,22400.32,49.6,10.4,91.6,55.4,62.0,8.69
636,Harris Elementary School,Georgia,Charter,Middle,24533.7,61.4,16.4,59.8,94.7,91.4,4.98
637,Russell Middle School,California,Charter,High,16921.39,52.7,15.2,71.2,72.3,93.6,2.44
638,Strickland Elementary School,Illinois,Charter,Elementary,12580.37,40.0,25.0,15.5,49.0,55.4,7.85
639,Porter Middle School,New York,Private,High,21824.91,61.9,12.8,15.7,47.7,51.3,2.46
640,Lewis Elementary School,California,Public,Elementary,22814.68,71.1,10.2,32.0,79.7,88.7,0.5
641,Garrett High School,Ohio,Public,High,21898.02,40.0,28.1,61.4,57.1,63.4,8.57
642,Thompson Elementary School,Illinois,Public,High,18790.12,51.0,16.4,68.3,5.9,58.1,7.55
643,Robles Middle School,California,Public,Middle,15474.18,52.4,13.4,61.7,53.5,56.3,3.92
644,Collins Middle School,Georgia,Private,Middle,10805.01,44.3,27.4,55.3,48.5,97.3,6.49
645,Ibarra High School,Georgia,Charter,Elementary,13074.9,46.7,17.5,73.5,58.1,95.4,3.54
646,Taylor High School,North Carolina,Private,Elementary,16298.02,40.0,26.3,61.4,60.0,56.2,10.82
647,Martinez High School,Texas,Private,Middle,8040.55,40.0,28.1,63.2,93.2,97.0,7.7
648,Hayes Elementary School,Texas,Charter,High,21529.9,53.5,12.5,91.6,24.7,96.6,5.71
649,Copeland Elementary School,California,Private,High,19617.44,54.6,14.0,45.1,41.9,61.0,4.47
650,Estrada Elementary School,California,Charter,Elementary,19772.47,49.7,29.2,32.2,65.8,77.8,5.15
651,Lewis Middle School,Florida,Private,Middle,17981.18,51.2,25.4,84.2,59.1,83.0,7.97
652,Flores High School,Illinois,Charter,High,21396.45,61.0,14.8,25.1,9.7,63.6,3.23
653,Olson Middle School,Ohio,Private,Middle,9336.24,51.5,29.8,16.9,48.6,89.1,3.87
654,Rodriguez High School,Ohio,Charter,Elementary,23706.02,57.7,19.1,48.0,31.3,81.4,2.91
655,Brown High School,North Carolina,Public,Middle,19150.04,57.8,14.4,35.2,10.9,57.7,3.08
656,Taylor Middle School,New York,Private,Elementary,13518.15,40.8,13.6,77.0,10.9,51.4,7.0
657,Cook Middle School,Michigan,Public,High,13214.73,40.0,28.6,58.7,88.1,87.9,8.85
658,King Elementary School,Florida,Private,Elementary,11618.59,41.4,14.9,76.3,60.6,73.6,5.69
659,Vasquez Middle School,New York,Public,Middle,11296.11,48.3,12.8,45.0,79.9,64.5,6.38
660,Perry High School,Georgia,Private,Middle,12574.16,43.3,22.3,57.6,85.1,90.4,6.56
661,Howard High School,Michigan,Charter,Elementary,23231.52,50.1,23.0,77.0,54.6,94.9,9.21
662,Johnson High School,Texas,Charter,High,14722.07,49.1,27.5,28.7,21.1,79.1,3.08
663,Vazquez Elementary School,New York,Public,Elementary,8739.23,40.0,24.6,79.3,13.6,76.7,8.74
664,Gilbert High School,California,Public,Middle,23023.41,58.5,18.1,50.9,52.5,79.8,6.07
665,Jones High School,Florida,Charter,Elementary,18622.82,51.6,14.3,40.9,33.8,55.2,6.55
666,Gomez Elementary School,Georgia,Private,Elementary,13137.96,40.0,22.1,82.4,26.8,72.8,8.43
667,Glover Elementary School,Texas,Public,High,18129.79,40.0,14.9,59.2,94.7,57.4,9.14
668,Green Middle School,Ohio,Charter,Elementary,21341.55,56.1,10.5,80.6,75.0,74.2,6.02
669,Krueger Middle School,Michigan,Private,High,9747.71,48.1,29.4,14.8,15.1,97.8,2.11
670,Byrd Middle School,North Carolina,Private,High,7292.48,40.0,23.5,49.5,57.6,80.5,5.92
671,Williams Middle School,Illinois,Public,Middle,16143.85,40.0,22.7,78.2,56.3,54.7,11.34
672,Lee Elementary School,Texas,Private,High,8963.37,49.7,15.0,16.4,78.4,78.5,0.5
673,Newman Elementary School,North Carolina,Public,High,23961.1,55.0,29.3,22.2,61.9,76.1,4.92
674,Lee Middle School,California,Public,Elementary,6721.91,40.0,10.1,43.4,48.3,69.4,5.06
675,Melton Middle School,Ohio,Public,High,9632.48,49.7,21.7,17.5,26.6,73.6,2.67
676,Massey Middle School,Georgia,Public,High,22534.13,65.0,22.0,53.4,20.8,98.4,0.5
677,Moyer Middle School,Michigan,Charter,High,15446.53,56.7,29.4,47.7,57.0,90.6,6.29
678,Yoder Elementary School,Michigan,Private,Middle,18459.54,43.9,14.0,81.8,65.4,52.7,10.43
679,Conway Middle School,Florida,Private,Middle,5635.94,42.3,16.7,57.7,17.2,84.2,3.78
680,Moore Middle School,North Carolina,Public,High,11340.88,40.0,14.7,61.2,46.6,62.5,7.18
681,Hernandez High School,New York,Private,Elementary,22010.51,61.6,27.4,59.9,13.9,96.5,1.94
682,Watkins High School,New York,Public,High,23783.56,52.5,24.3,55.4,72.9,62.2,7.05
683,Hall High School,Texas,Public,High,17487.74,58.4,24.5,27.2,35.6,77.3,2.57
684,Nicholson Middle School,Texas,Public,Elementary,24864.7,51.6,14.4,67.9,65.7,56.5,9.29
685,Warren Middle School,Florida,Private,High,19064.09,57.9,11.6,61.9,11.0,82.4,1.69
686,Bauer High School,Ohio,Private,Elementary,17791.31,40.0,21.8,89.2,9.7,54.0,12.06
687,Campbell Elementary School,Ohio,Private,High,14008.17,55.6,12.2,50.5,90.7,87.2,2.36
688,Johnson High School,California,Public,High,22924.8,66.5,12.8,64.7,75.3,83.9,3.5
689,Armstrong Elementary School,Ohio,Private,Elementary,6975.95,40.0,25.7,43.6,27.7,54.5,8.56
690,Schultz High School,North Carolina,Charter,Middle,6516.58,40.0,22.6,32.4,60.0,79.6,6.4
691,Ingram Elementary School,Illinois,Private,Middle,5526.79,40.0,15.3,69.9,36.9,67.1,7.04
692,Allen High School,New York,Private,Middle,24335.22,62.6,18.7,52.5,58.5,89.8,0.99
693,Mayer High School,Illinois,Private,High,20829.1,50.4,16.8,88.4,61.8,66.4,7.32
694,Lopez Elementary School,Texas,Charter,High,9036.67,40.0,13.3,79.3,56.9,85.5,5.95
695,Smith Middle School,New York,Charter,High,15462.82,46.7,22.3,71.9,31.4,96.0,4.07
696,King Middle School,Ohio,Private,Middle,6934.54,40.0,10.7,53.5,57.7,54.2,7.65
697,Miller Elementary School,California,Charter,Elementary,18039.27,43.2,19.3,15.8,81.5,62.4,4.63
698,Marshall Middle School,Pennsylvania,Charter,High,9611.13,40.0,27.3,15.7,35.8,73.2,7.96
699,Adkins Elementary School,California,Private,Elementary,20925.91,46.5,13.5,87.2,54.9,69.3,6.11
700,Roberts Elementary School,Georgia,Private,Elementary,7741.87,44.6,12.0,13.2,29.6,56.7,3.17
701,Dickerson Middle School,Michigan,Public,High,5073.28,44.9,19.8,52.9,56.3,95.4,2.93
702,Marsh High School,Ohio,Private,High,17092.9,60.3,14.3,29.5,5.1,80.9,0.5
703,Davis Middle School,Texas,Charter,Middle,6879.91,40.0,19.3,85.1,13.1,95.4,6.56
704,White Elementary School,Ohio,Public,High,22187.46,61.0,23.9,51.5,43.9,98.4,0.5
705,Johnson High School,Illinois,Public,Elementary,5813.21,47.8,26.7,10.3,33.7,87.3,2.61
706,Short High School,California,Public,Middle,23861.46,59.8,10.4,70.3,53.3,85.6,5.51
707,Martinez Elementary School,California,Private,Elementary,12807.55,52.0,13.7,10.3,62.0,76.9,0.5
708,Jordan Elementary School,California,Private,Elementary,13691.27,49.5,25.1,51.0,37.8,88.6,5.35
709,Nichols High School,Florida,Private,Middle,12467.68,57.8,12.3,15.9,8.5,80.1,0.5
710,Johnson Elementary School,Pennsylvania,Private,Elementary,20814.24,52.7,11.8,72.7,93.0,63.9,7.18
711,Castro Middle School,Georgia,Public,High,10819.98,40.0,29.3,90.4,26.9,71.9,10.74
712,Schmidt High School,New York,Private,Middle,18101.72,47.3,26.9,57.2,43.4,69.0,5.46
713,Parks Middle School,Georgia,Private,Middle,14851.28,45.6,12.1,30.6,30.2,52.5,5.43
714,Moody Middle School,Texas,Private,Middle,10618.98,43.6,10.0,61.4,15.6,61.5,5.58
715,Munoz Elementary School,Pennsylvania,Public,Elementary,9059.75,40.0,10.8,49.9,23.8,52.2,5.19
716,Horton Elementary School,Michigan,Charter,Elementary,15696.28,43.8,21.6,60.8,59.8,87.4,6.41
717,Cain Elementary School,Ohio,Charter,Elementary,21572.96,47.8,25.7,38.8,47.0,73.7,5.33
718,Johnson Elementary School,California,Charter,Middle,7316.46,43.4,27.9,19.5,20.9,77.0,3.88
719,Anderson High School,Georgia,Charter,High,13078.91,47.5,27.4,39.3,48.2,95.7,5.0
720,Mays Elementary School,North Carolina,Private,Middle,18735.52,42.9,15.9,83.1,36.0,67.1,6.94
721,Johnson High School,Illinois,Charter,High,8084.24,45.7,25.8,34.8,19.0,96.5,4.36
722,Cooper High School,California,Charter,High,18473.01,58.2,25.2,14.2,35.9,67.6,1.64
723,Chan Middle School,Texas,Private,Elementary,18311.57,40.0,19.9,78.2,40.6,81.0,7.15
724,Cunningham Middle School,Pennsylvania,Charter,Elementary,10297.04,40.0,21.4,17.5,51.4,52.9,8.73
725,Moreno Elementary School,California,Charter,Middle,16083.28,44.0,25.7,45.1,59.9,81.1,7.79
726,Wallace High School,Illinois,Private,Elementary,20166.99,55.0,27.0,52.8,27.9,70.8,6.72
727,Mendoza High School,Illinois,Public,High,21077.05,44.9,27.3,72.7,77.7,70.0,9.21
728,Roth Middle School,Ohio,Private,High,12536.09,41.9,12.4,91.1,40.3,64.1,8.34
729,Herrera High School,Florida,Public,Elementary,9510.39,40.0,29.3,59.6,74.9,97.1,7.5
730,Reyes High School,New York,Charter,Elementary,24922.85,59.6,29.1,45.3,24.2,100.0,3.01
731,Wall Middle School,Georgia,Private,Middle,7800.82,40.0,22.3,62.9,17.9,64.9,8.25
732,Smith Middle School,North Carolina,Charter,Elementary,20107.43,59.4,10.4,42.9,29.3,65.5,2.58
733,Griffin Elementary School,New York,Public,Middle,9401.94,40.0,20.5,51.5,33.6,56.0,8.03
734,Walsh Elementary School,Ohio,Charter,Elementary,20483.36,46.4,20.0,73.5,46.2,64.5,6.98
735,Hanson Middle School,Pennsylvania,Charter,Elementary,20276.76,49.4,28.9,36.4,21.2,60.5,6.5
736,Dodson Middle School,Georgia,Private,Elementary,7874.76,51.6,13.4,17.1,31.8,80.4,1.58
737,Moore Middle School,Florida,Charter,Elementary,22776.05,57.3,17.8,77.6,64.3,79.4,4.74
738,Coleman Elementary School,Ohio,Charter,High,5426.77,40.0,21.7,75.0,20.8,76.5,7.88
739,Cox Middle School,Georgia,Private,Middle,13169.93,40.0,17.4,80.9,50.0,76.6,7.31
740,Rhodes High School,Illinois,Public,Middle,5349.32,40.0,25.9,28.7,37.2,53.7,7.98
741,Mack Elementary School,Michigan,Private,Middle,10012.77,49.7,26.0,33.4,47.6,91.4,3.25
742,Warren High School,Ohio,Public,High,21720.19,67.5,15.2,37.8,88.8,87.4,3.12
743,Davis Elementary School,Illinois,Charter,High,16668.52,43.6,21.4,74.3,58.2,87.5,7.88
744,Terry Middle School,Pennsylvania,Charter,Elementary,9093.76,40.0,12.8,54.4,48.4,78.3,3.48
745,Best Elementary School,Florida,Private,Elementary,23796.79,57.6,17.4,68.1,26.5,72.4,6.26
746,Adkins Elementary School,Ohio,Charter,High,12796.86,40.0,10.4,93.0,47.7,52.9,9.25
747,Maynard Middle School,Texas,Charter,High,21695.65,65.7,21.0,25.2,73.2,74.7,1.95
748,Coleman Middle School,North Carolina,Charter,High,23980.01,52.3,20.2,67.6,75.2,61.9,8.91
749,Crawford Elementary School,Georgia,Charter,Elementary,18328.9,50.6,15.1,87.6,50.9,89.2,5.48
750,Dean Elementary School,Florida,Private,Middle,19137.66,50.7,10.7,94.1,81.6,93.4,6.96
751,Morton Middle School,Ohio,Charter,Middle,6434.33,40.0,26.8,72.9,45.3,79.0,8.27
752,Hernandez Elementary School,North Carolina,Private,High,6293.02,40.0,29.2,53.7,23.1,95.1,5.35
753,Williams Elementary School,North Carolina,Private,High,16756.21,43.0,26.2,47.4,70.6,80.6,6.29
754,Pineda Elementary School,Ohio,Charter,Elementary,12068.6,62.6,16.6,46.6,41.9,99.9,0.5
755,Ramirez Elementary School,Florida,Private,Elementary,11967.01,46.8,26.7,84.8,13.0,89.6,9.06
756,Rodriguez Middle School,Texas,Charter,High,20136.95,68.6,17.5,25.9,68.1,92.4,0.59
757,Rodriguez Elementary School,Florida,Public,High,16615.54,40.0,24.7,59.1,84.3,68.1,11.6
758,Bates High School,Michigan,Private,Elementary,7551.26,40.0,12.4,73.1,16.1,59.0,10.47
759,Barnes Middle School,Texas,Public,High,5012.97,40.7,12.2,70.1,19.5,77.0,4.43
760,Hawkins Middle School,Texas,Public,Elementary,5992.29,40.0,23.8,44.8,38.7,66.7,7.53
761,Mitchell Middle School,Pennsylvania,Charter,High,21954.31,69.1,16.4,10.2,46.0,69.5,0.5
762,Williams Middle School,Texas,Public,Elementary,10604.13,43.9,29.9,11.1,35.1,66.8,4.57
763,Daniel High School,Michigan,Private,Elementary,10374.24,54.0,12.3,68.6,38.0,99.9,1.56
764,Barker Middle School,Texas,Private,Elementary,20259.76,50.9,13.1,75.3,89.9,63.8,6.71
765,Taylor Middle School,Ohio,Charter,Middle,21980.48,65.4,12.5,70.8,6.8,91.2,0.5
766,King High School,New York,Public,Middle,15695.71,48.3,17.2,49.4,83.3,98.1,3.25
767,Vaughn High School,North Carolina,Public,Elementary,15299.65,48.9,10.9,72.7,11.2,66.1,4.26
768,Campbell Elementary School,North Carolina,Public,Elementary,12561.65,40.0,28.8,25.9,62.4,67.0,8.39
769,Smith High School,Texas,Public,Elementary,19044.08,42.8,12.4,88.0,16.3,61.4,7.33
770,Bartlett Elementary School,Florida,Public,High,9315.84,45.3,19.8,22.7,52.2,52.6,9.4
771,Fields High School,Michigan,Charter,High,5284.34,40.0,14.3,93.3,76.9,83.9,7.93
772,Salinas Elementary School,Florida,Charter,Middle,11150.33,50.6,23.3,21.4,65.6,75.3,4.18
773,Barrett Middle School,Ohio,Public,Elementary,20194.4,53.7,17.0,54.4,59.2,68.7,4.14
774,Martin Elementary School,Georgia,Public,Middle,24698.58,59.5,29.4,32.8,18.0,59.8,7.98
775,Coleman Elementary School,Texas,Charter,Middle,18756.66,50.0,18.3,77.2,8.2,73.3,8.02
776,Frazier Middle School,Florida,Private,Middle,18537.68,58.3,10.6,67.6,89.8,91.8,3.67
777,Pope Middle School,Texas,Charter,High,18634.95,57.1,11.4,49.0,75.9,92.8,0.5
778,Price High School,Georgia,Charter,Elementary,13650.99,52.6,16.6,36.6,40.5,75.8,3.47
779,Soto Elementary School,Texas,Public,High,14749.42,49.6,16.1,57.5,20.6,73.9,3.54
780,Carpenter Elementary School,Texas,Private,Middle,15301.67,47.5,14.3,24.2,45.5,63.5,5.36
781,Smith Elementary School,Georgia,Charter,Elementary,14688.29,53.7,11.5,87.7,13.5,97.1,4.48
782,Bennett Elementary School,Florida,Private,High,20599.08,51.5,27.1,59.6,28.3,82.3,6.49
783,Ward Elementary School,Illinois,Private,Middle,21072.23,62.4,16.3,52.9,88.5,76.0,1.5
784,Scott High School,Illinois,Public,Middle,14402.65,58.1,14.8,27.1,13.2,70.5,0.5
785,Lopez High School,Texas,Private,Elementary,6490.93,40.0,14.0,81.8,51.5,84.5,7.75
786,Adams Elementary School,Georgia,Public,Elementary,17372.59,44.7,25.4,66.8,41.6,71.8,10.06
787,Sherman Elementary School,Michigan,Public,High,14834.83,45.5,12.4,62.3,90.5,67.5,8.3
788,Nguyen Elementary School,Illinois,Private,High,11838.63,40.0,24.8,87.9,92.9,92.3,7.71
789,Francis Elementary School,Georgia,Charter,Elementary,5292.17,40.0,21.1,71.4,16.2,68.6,8.76
790,Johnson Middle School,Michigan,Private,Elementary,13184.84,47.0,14.6,49.7,60.0,73.5,6.27
791,Davis High School,Pennsylvania,Charter,High,24807.06,57.6,17.6,25.4,56.7,59.4,1.99
792,Garcia Middle School,Pennsylvania,Charter,Middle,18513.04,42.9,24.2,19.4,64.2,54.2,6.95
793,Mcbride Middle School,Ohio,Public,High,10827.48,48.3,10.9,50.1,70.8,73.5,4.75
794,Peterson Middle School,North Carolina,Public,Elementary,10617.23,46.2,19.6,62.3,93.4,97.5,5.04
795,Walker Elementary School,Georgia,Public,Elementary,14245.78,40.0,21.6,78.9,27.5,68.7,7.09
796,Robles Middle School,Georgia,Public,Elementary,22130.92,50.3,25.6,32.1,13.9,50.7,6.47
797,Kelly Middle School,California,Public,Middle,10080.15,51.9,16.8,60.6,40.2,95.4,2.88
798,Jones High School,Pennsylvania,Public,High,12233.55,40.0,22.2,91.2,39.4,56.6,11.69
799,Reeves High School,California,Charter,Elementary,9228.96,57.3,13.2,32.4,33.5,91.0,0.5
800,Wilson Middle School,Illinois,Private,Middle,6616.41,40.0,20.3,60.9,77.1,78.7,7.07
801,Coleman Elementary School,California,Charter,Elementary,8097.28,40.0,24.3,73.5,39.1,65.9,9.88
802,Donaldson Elementary School,Michigan,Charter,High,17521.06,40.6,20.6,66.7,8.4,60.3,9.06
803,Patton High School,Florida,Public,Elementary,21347.79,62.9,14.6,33.3,71.4,78.1,1.54
804,Cross Middle School,North Carolina,Private,High,12504.64,46.8,29.1,55.6,18.0,94.3,5.02
805,Oliver Elementary School,Texas,Charter,High,8727.32,43.6,13.7,75.8,18.3,68.7,7.05
806,Wilkinson Elementary School,Pennsylvania,Charter,High,5028.53,40.0,26.1,11.9,63.4,64.2,3.71
807,Reynolds High School,New York,Private,Middle,20641.87,58.8,14.0,51.6,88.2,86.2,3.76
808,Bonilla High School,California,Private,Middle,7479.13,40.0,13.0,70.2,30.8,89.6,4.87
809,Guzman Middle School,North Carolina,Private,Elementary,24000.94,56.5,24.6,54.9,41.5,82.5,5.29
810,Davis High School,Michigan,Charter,Middle,20185.79,53.4,13.6,57.6,68.6,65.0,7.01
811,Stephens High School,Georgia,Public,Middle,15817.99,53.4,13.6,28.8,91.1,75.2,0.64
812,Jones Elementary School,Michigan,Public,Middle,7174.01,40.0,22.9,63.1,46.2,98.5,3.33
813,Foster High School,Michigan,Private,Middle,23419.35,58.4,19.0,37.0,11.2,56.6,4.81
814,Johnson Middle School,Illinois,Private,High,12704.62,40.0,21.0,63.7,32.6,53.2,9.62
815,English Middle School,Illinois,Private,High,8405.16,40.0,22.6,88.7,94.9,91.6,9.56
816,Hansen High School,Michigan,Private,Elementary,16344.78,40.8,14.0,87.3,74.8,57.4,9.91
817,Williams High School,Georgia,Public,Middle,18579.7,44.1,25.4,69.7,83.4,82.4,9.47
